"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","checkpoint_path","data_percentage","dropout","frames","lr","lr_scheduler_init/class_path","lr_scheduler_init/init_args/gamma","lr_scheduler_init/init_args/last_epoch","lr_scheduler_init/init_args/step_size","lr_scheduler_init/init_args/verbose","mode","multi_instance","multi_view_strategy","optimizer_init/class_path","optimizer_init/init_args/amsgrad","optimizer_init/init_args/betas","optimizer_init/init_args/eps","optimizer_init/init_args/lr","optimizer_init/init_args/maximize","optimizer_init/init_args/weight_decay","output_classes","pretrained","print_attention_maps","proj_dim","proj_layers","task","video_model","video_model_depth","wd","optimizer_init/init_args/capturable","epoch","loss_epoch","loss_step","mae_epoch","mae_step","mse_epoch","mse_step","trainer/global_step","val_loss_epoch","val_loss_step","val_mae_epoch","val_mae_step","val_mse_epoch","val_mse_step"
"2023-07-09-12:26:06_version_9","finished","-","rshad","","2023-07-10T07:16:21.000Z","36910","","1","/oak/stanford/groups/willhies/ml_weights/mri_project/9g59sg0a/checkpoints/epoch=399-step=82800.ckpt","0.1","0.1","16","0.0001","torch.optim.lr_scheduler.StepLR","0.1","-1","4","false","finetune","true","single_model","torch.optim.adamw.AdamW","false","[0.9,0.999]","1e-8","0.0001","false","0.01","1","true","false","512","1","regression_mil","mvit","50","0.01","false","14","3.1498169898986816","1.9089889526367188","3.614834785461426","2.4089889526367188","27.53412437438965","5.80322790145874","49999","2.7755320072174072","1.7394866943359375","3.246366024017334","2.2394866943359375","18.405200958251953","5.015300750732422"
"2023-07-09-12:26:06_version_8","finished","-","rshad","","2023-07-10T03:49:49.000Z","49411","","1","/oak/stanford/groups/willhies/ml_weights/mri_project/9g59sg0a/checkpoints/epoch=389-step=80730.ckpt","0.1","0.1","16","0.0001","torch.optim.lr_scheduler.StepLR","0.1","-1","4","false","finetune","true","single_model","torch.optim.adamw.AdamW","false","[0.9,0.999]","1e-8","0.0001","false","0.01","1","true","false","512","1","regression_mil","mvit","50","0.01","false","14","2.894131898880005","9.34292221069336","3.354618787765503","9.84292221069336","20.83382797241211","96.88311767578124","49999","2.7747983932495117","2.0667686462402344","3.2463366985321045","2.5667686462402344","18.474973678588867","6.588301181793213"
"2023-07-09-12:26:06_version_7","finished","-","rshad","","2023-07-11T22:22:56.000Z","41972","","1","/oak/stanford/groups/willhies/ml_weights/mri_project/9g59sg0a/checkpoints/epoch=379-step=78660.ckpt","0.1","0.1","16","0.0001","torch.optim.lr_scheduler.StepLR","0.1","-1","4","false","finetune","true","single_model","torch.optim.adamw.AdamW","false","[0.9,0.999]","1e-8","0.0001","false","0.01","1","true","false","512","1","regression_mil","mvit","50","0.01","false","14","3.1291208267211914","0.6552276611328125","3.597554922103882","1.1552276611328125","24.180681228637695","1.3345509767532349","49999","2.7461910247802734","1.9981040954589844","3.213324546813965","2.4981040954589844","18.21361541748047","6.2405242919921875"
"2023-07-09-12:26:06_version_6","finished","-","rshad","","2023-07-09T20:01:23.000Z","41877","","1","/oak/stanford/groups/willhies/ml_weights/mri_project/9g59sg0a/checkpoints/epoch=369-step=76590.ckpt","0.1","0.1","16","0.0001","torch.optim.lr_scheduler.StepLR","0.1","-1","4","false","finetune","true","single_model","torch.optim.adamw.AdamW","false","[0.9,0.999]","1e-8","0.0001","false","0.01","1","true","false","512","1","regression_mil","mvit","50","0.01","false","14","3.14199161529541","2.0231170654296875","3.6091301441192623","2.5231170654296875","25.052412033081055","6.366119861602783","49999","2.7571327686309814","2.091350555419922","3.2215142250061035","2.591350555419922","18.200767517089844","6.715097904205322"
"2023-07-09-12:26:06_version_5","finished","-","rshad","","2023-07-09T20:01:23.000Z","42670","","1","/oak/stanford/groups/willhies/ml_weights/mri_project/9g59sg0a/checkpoints/epoch=359-step=74520.ckpt","0.1","0.1","16","0.0001","torch.optim.lr_scheduler.StepLR","0.1","-1","4","false","finetune","true","single_model","torch.optim.adamw.AdamW","false","[0.9,0.999]","1e-8","0.0001","false","0.01","1","true","false","512","1","regression_mil","mvit","50","0.01","false","14","3.1776373386383057","0.7984275817871094","3.6408748626708984","1.2984275817871094","27.227746963500977","1.685914158821106","49999","2.785046339035034","0.8875007629394531","3.24899959564209","1.3875007629394531","18.85369300842285","1.9251583814620972"
"2023-07-09-12:26:06_version_4","finished","-","rshad","","2023-07-09T20:01:23.000Z","41207","","1","/oak/stanford/groups/willhies/ml_weights/mri_project/9g59sg0a/checkpoints/epoch=349-step=72450.ckpt","0.1","0.1","16","0.0001","torch.optim.lr_scheduler.StepLR","0.1","-1","4","false","finetune","true","single_model","torch.optim.adamw.AdamW","false","[0.9,0.999]","1e-8","0.0001","false","0.01","1","true","false","512","1","regression_mil","mvit","50","0.01","false","14","3.117020606994629","0.9680442810058594","3.581960439682007","1.4680442810058594","26.1535587310791","2.15515398979187","49999","2.7394134998321533","1.5437507629394531","3.207883358001709","2.043750762939453","18.135440826416016","4.17691707611084"
"2023-07-09-12:26:06_version_3","finished","-","rshad","","2023-07-11T22:22:31.000Z","42068","","1","/oak/stanford/groups/willhies/ml_weights/mri_project/9g59sg0a/checkpoints/epoch=339-step=70380.ckpt","0.1","0.1","16","0.0001","torch.optim.lr_scheduler.StepLR","0.1","-1","4","false","finetune","true","single_model","torch.optim.adamw.AdamW","false","[0.9,0.999]","1e-8","0.0001","false","0.01","1","true","false","512","1","regression_mil","mvit","50","0.01","false","14","3.1030759811401367","7.023937225341797","3.56855845451355","7.523937225341797","23.790714263916016","56.6096305847168","49999","2.745079755783081","1.4054679870605469","3.2155871391296387","1.9054679870605469","18.294885635375977","3.630808353424072"
"2023-07-09-12:26:06_version_27","finished","-","rshad","","2023-07-11T06:15:50.000Z","40873","","1","/oak/stanford/groups/willhies/ml_weights/mri_project/9g59sg0a/checkpoints/epoch=579-step=120060.ckpt","0.1","0.1","16","0.0001","torch.optim.lr_scheduler.StepLR","0.1","-1","4","false","finetune","true","single_model","torch.optim.adamw.AdamW","false","[0.9,0.999]","1e-8","0.0001","false","0.01","1","true","false","512","1","regression_mil","mvit","50","0.01","false","14","2.843294143676758","9.725605010986328","3.308089256286621","10.225605010986328","20.899316787719727","104.56299591064452","49999","2.7349884510040283","1.094318389892578","3.199896812438965","1.594318389892578","18.27632713317871","2.541851043701172"
"2023-07-09-12:26:06_version_26","finished","-","rshad","","2023-07-11T06:07:47.000Z","40720","","1","/oak/stanford/groups/willhies/ml_weights/mri_project/9g59sg0a/checkpoints/epoch=569-step=117990.ckpt","0.1","0.1","16","0.0001","torch.optim.lr_scheduler.StepLR","0.1","-1","4","false","finetune","true","single_model","torch.optim.adamw.AdamW","false","[0.9,0.999]","1e-8","0.0001","false","0.01","1","true","false","512","1","regression_mil","mvit","50","0.01","false","14","3.174669027328491","2.633636474609375","3.639401435852051","3.133636474609375","26.729175567626953","9.819677352905272","49999","2.743571519851685","1.3190269470214844","3.2082948684692383","1.8190269470214844","18.2044620513916","3.30885910987854"
"2023-07-09-12:26:06_version_25","finished","-","rshad","","2023-07-11T05:27:38.000Z","40437","","1","/oak/stanford/groups/willhies/ml_weights/mri_project/9g59sg0a/checkpoints/epoch=559-step=115920.ckpt","0.1","0.1","16","0.0001","torch.optim.lr_scheduler.StepLR","0.1","-1","4","false","finetune","true","single_model","torch.optim.adamw.AdamW","false","[0.9,0.999]","1e-8","0.0001","false","0.01","1","true","false","512","1","regression_mil","mvit","50","0.01","false","14","3.0714869499206543","1.3350257873535156","3.5368969440460205","1.8350257873535156","25.41579818725586","3.3673195838928223","49999","2.7468066215515137","2.04586410522461","3.21052885055542","2.54586410522461","18.266454696655273","6.481423854827881"
